attempt,round,action,lives,lives_lost,cash
111,34,none,80,0,4930
111,35,upgrade,63,17,5825
111,35,place,63,17,5825
111,35,upgrade,63,17,5825
111,36,upgrade,30,33,6012
111,36,place,30,33,6012
111,36,upgrade,30,33,6012
111,37,none,30,0,4973
111,37,none,30,0,4973
111,38,none,30,0,6312
111,38,none,30,0,6312
111,38,none,30,0,6312
111,39,upgrade,11,19,7570
111,39,upgrade,11,19,7570
111,39,upgrade,11,19,7570
111,39,upgrade,11,19,7570
112,1,place,200,0,650
112,2,none,200,0,431
112,3,none,200,0,568
112,4,none,200,0,706
112,5,place,181,19,862
112,6,none,181,0,556
112,7,none,181,0,719
112,8,none,181,0,901
112,9,none,181,0,1101
112,10,none,181,0,1300
112,11,none,181,0,1614
112,12,none,181,0,1803
112,13,none,181,0,1995
112,14,none,181,0,2277
112,15,place,172,9,2527
112,15,upgrade,172,9,2527
112,16,place,156,16,1417
112,17,none,154,2,1463
112,18,upgrade,142,12,1621
112,19,place,135,7,1762
112,20,none,134,1,1851
112,21,upgrade,120,14,2023
112,22,upgrade,96,24,2255
112,23,upgrade,43,53,2425
112,24,upgrade,32,11,2396
112,25,upgrade,29,3,2350
112,26,place,24,5,2255
112,27,upgrade,19,5,2393
112,28,none,16,3,2967
112,28,none,16,3,2967
112,29,none,15,1,3232
112,29,none,15,1,3232
112,30,none,15,0,3621
112,30,none,15,0,3621
112,31,place,15,0,3621
112,31,none,15,0,3621
113,1,place,200,0,650
113,2,place,200,0,471
113,3,none,200,0,438
113,4,none,200,0,576
113,5,none,198,2,749
113,6,none,198,0,913
113,7,none,198,0,1076
113,8,none,198,0,1258
113,9,none,198,0,1458
113,10,upgrade,189,9,1648
113,11,upgrade,155,34,1633
113,12,none,155,0,1612
113,13,none,155,0,1804
113,14,upgrade,117,38,2048
113,15,upgrade,101,16,2216
113,16,upgrade,77,24,2338
113,17,upgrade,40,37,2399
113,18,none,40,0,1459
114,1,place,200,0,650
114,2,none,200,0,496
114,3,none,200,0,633
114,4,none,200,0,771
114,5,upgrade,181,19,927
114,6,none,181,0,836
114,7,place,176,5,994
114,8,none,176,0,836
114,9,none,176,0,1036
114,10,none,176,0,1235
114,11,none,176,0,1549
114,12,none,176,0,1738
114,13,none,176,0,1930
114,14,none,176,0,2212
114,15,none,176,0,2471
114,16,place,154,22,2715
114,16,place,154,22,2715
114,17,place,131,23,1720
114,18,upgrade,124,7,1560
114,19,none,122,2,1706
114,20,upgrade,100,22,1945
114,21,place,97,3,1788
114,22,place,60,37,1802
114,23,place,34,26,1904
114,24,none,34,0,1911
114,25,none,31,3,2075
114,26,none,31,0,2410
114,27,none,31,0,2743
114,27,none,31,0,2743
